Motors scraped off: http://www.motocalc.com/data/motor.html,,,
Motors scraped off: http://www.motocalc.com/data/show.cgi?table=1,,,
This compilation of data is protected by copyright law. It may be freely used for personal, non-commercial purposes only. Use of this compilation for any other purpose is expressly forbidden.,,,
,,,
Name,kV(kV),No_Load_Current(A),Resistance(Ohm),Weight(g)
11T Car Motor (est),5930.0,3.91,0.04,156
12T Car Motor (est),5377.0,3.46,0.047,156
15T Car Motor (est),4182.0,2.55,0.074,156
16T Car Motor (est),3889.0,2.33,0.084,156
17T Car Motor (est),3632.0,2.14,0.095,156
18T Car Motor (est),3406.0,1.98,0.106,156
19T Car Motor (est),3205.0,1.84,0.118,156
21T Car Motor (est),2863.0,1.6,0.145,156
Actro 12-3,1450.0,3.75,0.021,230
Actro 12-4,1090.0,3.25,0.03,230
Actro 12-5,880.0,2.1,0.047,230
Actro 12-6,740.0,1.45,0.066,230
Actro 24-3,740.0,3.5,0.022,352
Actro 24-4,570.0,1.9,0.04,352
Actro 24-5,435.0,0.95,0.062,352
Actro 24-6,365.0,0.95,0.089,352
Actro 40-4,320.0,1.85,0.056,522
Actro 40-5,255.0,1.0,0.083,522
Actro 40-6,210.0,1.05,0.117,522
Astro Brushless 010 14T#25 #801G w/o G.B,2300.0,0.2,0.275,37
Astro Brushless 010 14T#25 #801M,2300.0,0.2,0.275,32
Astro Brushless 010 Fan 8T#23 #801FM,4150.0,0.5,0.1,32
Astro Brushless 010 Heli 10T#24 #801HM,3570.0,0.4,0.15,32
Astro Brushless 020 5T#20 #803G w/o G.B,2567.0,1.0,0.075,71
Astro Brushless 020 5T#20 #803M,2567.0,1.0,0.07,71
Astro Brushless 020 7T#22 #802,3085.0,0.7,0.145,66
Astro Brushless 020 Corona 4T#19 #803HCM,3300.0,1.0,0.045,78
Astro Brushless 020 Fan 4T#19 #803FM,3300.0,1.0,0.045,71
Astro Brushless 020 Pylon 6T#21 #802P,3600.0,0.9,0.125,66
Astro Brushless 020 Voyagr 3T#18 #803HVM,4460.0,1.1,0.029,78
Astro Brushless 05 #805,2800.0,0.9,0.09,94
Astro Brushless 05 #805K,4000.0,1.8,0.035,94
Astro Brushless 05 #805P,4400.0,1.8,0.035,173
Astro Brushless 05 #805W,4400.0,1.8,0.035,94
Astro Brushless 05 2T#17 #806RM,4000.0,1.0,0.021,114
Astro Brushless 05 2T#18 #806PM w/o G.B,4000.0,1.0,0.021,114
Astro Brushless 05 2T#18 #806RM,4000.0,1.0,0.021,114
Astro Brushless 05 3T#18 #805D,4300.0,1.3,0.045,94
Astro Brushless 05 3T#18 #806G,2666.0,1.0,0.04,114
Astro Brushless 05 3T#18 #806G w/o G.B,2666.0,1.0,0.04,114
Astro Brushless 05 3T#18 #806PM w/o G.B,2600.0,1.0,0.04,114
Astro Brushless 05 3T#18 #806SP,2666.0,1.0,0.04,114
Astro Brushless 05 4T#19 #805G,3273.0,1.1,0.08,94
Astro Brushless 05 Fan 2T#17 #806F,4000.0,1.4,0.021,114
Astro Brushless 05 Fan 3T#18 #806F,3600.0,1.0,0.025,114
Astro Brushless 19 9T #819M,1375.0,0.45,0.09,120
Astro Brushless 25 3T#16 #825GM,2818.0,1.6,0.02,171
Astro Brushless 25 4T#17 #825GM,2050.0,1.2,0.033,171
Astro Brushless 25 5T#18 #825GM,1635.0,0.9,0.052,171
Astro Brushless 40 3T#16 #840GM,1812.0,1.6,0.025,253
Astro Brushless 40 4T#17 #840GM,1363.0,1.2,0.043,253
Astro Brushless 40 5T#18 #840GM,1090.0,0.9,0.068,253
Astro Cobalt 020 9T #602,3830.0,1.8,0.04,108
Astro Cobalt 035 7T#20 #603,2765.0,2.5,0.04,171
Astro Cobalt 035 FAI 5T#18 #604,4285.0,5.0,0.017,128
Astro Cobalt 05 7T#20 #605,2125.0,2.5,0.045,213
Astro Cobalt 05 FAI 5T#18 #608,3214.0,5.0,0.021,156
Astro Cobalt 05 FAI 6T#19 #606,2678.0,4.0,0.031,156
Astro Cobalt 05 Marine Race 4T #304,4390.0,6.5,0.016,0
Astro Cobalt 05 Marine Race 4T #306,4090.0,6.5,0.018,0
Astro Cobalt 15 10T#21 #615,1488.0,2.0,0.069,227
Astro Cobalt 25 8T#20 #625,971.0,2.0,0.093,312
Astro Cobalt 25 FAI 5T#18 #627,1475.0,4.5,0.039,298
Astro Cobalt 25 Marine Race 4T #326,1914.0,4.5,0.027,0
Astro Cobalt 40 8T#20 #640,682.0,2.0,0.121,369
Astro Cobalt 40 FAI 4T#17 #643,1364.0,5.0,0.034,327
Astro Cobalt 40 FAI 5T#18 #642,1161.0,4.5,0.05,327
Astro Cobalt 40 Marine Race 4T#17 #341,1364.0,4.5,0.034,341
Astro Cobalt 60 11T#23 #661,347.0,2.5,0.103,624
Astro Cobalt 60 13T#24 #662,293.0,2.0,0.15,624
Astro Cobalt 60 FAI 6T#20 #660,652.0,5.0,0.032,553
Astro Cobalt 90 11T#23 #690,230.0,2.5,0.15,851
Astro Cobalt 90 FAI 10T#22 #691,256.0,3.0,0.111,794
Astro Ferrite 25 Marine 10T#21 #425,825.0,1.0,0.17,397
Astro Ferrite 40 Marine 10T#21 #440,643.0,1.0,0.2,454
Astro Firefly,4333.0,0.025,2.1,12
Astro Turbo 05 6T#19,3289.0,3.34,0.027,171
Aveox 1005/2Y,5137.0,2.5,0.018,88
Aveox 1005/3Y,3457.0,1.8,0.041,88
Aveox 1005/4Y,2608.0,1.07,0.073,88
Aveox 1005/5Y,2060.0,0.89,0.114,88
Aveox 1010/1.5Y,3349.0,2.65,0.014,131
Aveox 1010/1Y,4870.0,4.45,0.006,131
Aveox 1010/2Y,2568.0,1.67,0.024,131
Aveox 1010/3Y,1727.0,1.03,0.054,131
Aveox 1010/4Y,1489.0,0.44,0.096,131
Aveox 1010/DF,3200.0,1.67,0.024,131
Aveox 1015/1.5Y,2298.0,2.03,0.016,173
Aveox 1015/1Y,3278.0,3.92,0.007,173
Aveox 1015/2Y,1701.0,1.28,0.028,173
Aveox 1015/3Y,1128.0,1.016,0.063,173
Aveox 1406/2Y,3000.0,2.7,0.018,196
Aveox 1406/3Y,2000.0,1.6,0.037,196
Aveox 1406/4Y,1500.0,1.2,0.06,196
Aveox 1409/1.5Y,2582.0,3.8,0.01,247
Aveox 1409/2Y,2000.0,2.3,0.02,247
Aveox 1409/3Y,1333.0,1.6,0.04,247
Aveox 1409/4Y,1000.0,0.8,0.069,247
Aveox 1412/1.5Y,2085.0,3.8,0.01,290
Aveox 1412/2Y,1450.0,2.7,0.018,290
Aveox 1412/3Y Neodym,955.0,1.6,0.045,290
Aveox 1412/4Y Sport 40,725.0,0.7,0.065,290
Aveox 1412/5Y Pattern 40,585.0,0.5,0.105,290
Aveox 1415/1.5Y,2085.0,2.5,0.01,346
Aveox 1415/2Y,1190.0,1.8,0.02,346
Aveox 1415/3Y,795.0,1.2,0.05,346
Aveox 1817/2Y,650.0,3.0,0.027,573
Aveox 1817/3Y,433.0,1.2,0.06,573
Aveox 1817/4Y,325.0,0.6,0.018,573
Aveox 27/13/2,4686.0,1.68,0.018,83
Aveox 27/13/3,3124.0,1.12,0.041,83
Aveox 27/13/4,2343.0,0.84,0.073,83
Aveox 27/13/5,1874.0,0.67,0.114,83
Aveox 27/26/1,4686.0,3.0,0.006,122
Aveox 27/26/1.5,3124.0,2.0,0.014,122
Aveox 27/26/2,2343.0,1.5,0.024,122
Aveox 27/26/3,1562.0,1.0,0.054,122
Aveox 27/26/4,1172.0,0.75,0.096,122
Aveox 27/39/1,3124.0,2.3,0.007,162
Aveox 27/39/1.5,2083.0,1.53,0.016,162
Aveox 27/39/2,1562.0,1.15,0.028,162
Aveox 27/39/3,1041.0,0.77,0.063,162
Aveox 27/39/4,781.0,0.58,0.112,162
Aveox 36/15/1,5603.0,6.5,0.035,196
Aveox 36/15/1.5,3873.0,4.3,0.079,196
Aveox 36/15/2,2947.0,3.0,0.14,196
Aveox 36/15/3,1979.0,1.9,0.357,196
Aveox 36/15/4,1495.0,1.2,0.56,196
Aveox 36/24/1,3724.0,5.4,0.05,236
Aveox 36/24/1.5,2633.0,4.3,0.0113,236
Aveox 36/24/2,1956.0,2.8,0.02,236
Aveox 36/24/3,1313.0,1.6,0.065,236
Aveox 36/24/4,983.0,1.38,0.08,236
Aveox 36/30/1.5,1945.0,2.9,0.01,270
Aveox 36/30/2,1466.0,2.3,0.018,270
Aveox 36/30/3,1011.0,1.4,0.042,270
Aveox 36/30/4,729.0,1.0,0.072,270
Aveox 36/38/1.5,1681.0,2.2,0.012,318
Aveox 36/38/2,1172.0,2.2,0.021,318
Aveox 36/38/3,765.0,1.2,0.048,318
Aveox 36/38/4,574.0,1.2,0.085,318
Aveox 46/30/3,886.0,0.8,0.038,454
Aveox 46/43/2,670.0,1.66,0.016,681
Aveox 46/43/3,444.0,1.11,0.026,681
Aveox 46/43/4,333.0,0.83,0.065,681
Aveox 46/43/5,266.0,0.64,0.102,681
Aveox 46/43/6,222.0,0.53,0.147,681
Aveox F10LMR (w/o gearbox),3848.0,4.5,0.008,275
Aveox F10LMR Light (w/o gearbox),3848.0,4.5,0.008,224
Aveox F12LMR (w/o gearbox),2590.0,4.5,0.009,284
Aveox F16LMR (w/o gearbox),1998.0,2.5,0.018,284
Aveox F27 (w/o gearbox),1480.0,2.5,0.02,397
Aveox F5D Pylon,4450.0,4.0,0.005,247
Aveox F5D Pylon 355,5000.0,3.0,0.009,185
Aveox F5D Pylon 376,4775.0,3.5,0.009,185
Aveox F5D Pylon 425,4080.0,4.5,0.009,185
Aveox F7LMR (w/o gearbox),3848.0,4.5,0.008,253
Aveox Marine 12,1950.0,2.3,0.02,247
Aveox Marine 7,3750.0,4.5,0.009,196
Aveox RC7,3973.0,3.46,0.079,196
Aveox RC7 Oval,4000.0,2.7,0.009,196
Aveox V12,540.0,1.4,0.038,275
Axi - see Model Motors,0.0,0.0,0.0,0
BP 3520-6,800.0,2.1,0.05,213
BP 4120-7,610.0,2.0,0.041,298
BP 4130-8,380.0,1.5,0.063,403
BP A2204-19,1400.0,0.3,0.55,22
BP A2208-12,1800.0,0.8,0.09,40
BP A2208-14,1450.0,0.6,0.14,40
BP A2208-17,1100.0,0.4,0.225,40
BP A2212-10,1400.0,0.7,0.065,52
BP A2212-13,1000.0,0.5,0.09,53
BP A2212-6,2200.0,1.4,0.045,52
BP A2217-6,1500.0,1.6,0.1,76
BP A2217-7,1250.0,1.3,0.15,76
BP A2217-8,1100.0,1.0,0.125,71
BP A2217-9,950.0,0.9,0.095,74
BP A2814-6,1410.0,2.1,0.05,103
BP A2814-8,1100.0,1.8,0.072,103
BP A2820-6,1000.0,2.0,0.059,133
BP A2826-4,1000.0,2.9,0.028,178
BP A2826-6,730.0,1.5,0.059,178
BP A5330-9,260.0,1.2,0.052,655
BP A7035-9,176.0,2.0,0.016,1645
BP A7050-6,176.0,2.8,0.015,1645
BP H2217-4,3500.0,1.0,0.05,67
BP R7050-6,176.0,2.8,0.015,1531
Castle Creations CM-2036,3600.0,0.46,0.0242,43
Castle Creations CM-2042,4200.0,0.59,0.0152,46
Castle Creations CM-2054,5400.0,0.64,0.0082,46
Castle Creations CM-2068,6800.0,1.1,0.0057,49
Castle Creations CM-2080,8000.0,1.25,0.0041,49
Castle Creations Vertigo 450-2618,3640.0,3.9,0.007,120
Castle Creations Vertigo 500-3525,1420.0,3.9,0.009,321
Castle Creations Vertigo 550-3530,1175.0,3.0,0.009,363
Castle Creations Vertigo 600-3538,530.0,2.2,0.021,423
Castle Creations Vertigo 700-4540,490.0,1.8,0.012,695
Cermark CEM 05 Cobalt,2083.0,3.0,0.04,185
Cermark CEM 480BL3,1672.0,2.293,0.113,182
Cermark CEM 480BL3 (test),1370.0,2.293,0.08,182
Cermark CEM 600BL3,1051.0,1.657,0.09,241
Cermark CEM CM0506,1791.0,4.8,0.028,185
Cermark CEM CM2008,1214.0,4.5,0.041,185
Danlion Pulso X2208/20,1890.0,1.3,0.1,46
Danlion Pulso X2208/26,1470.0,0.9,0.154,46
Danlion Pulso X2208/34,1180.0,0.7,0.255,46
Danlion Pulso X2212/12,2070.0,2.2,0.054,59
Danlion Pulso X2212/20,1280.0,1.0,0.124,59
Danlion Pulso X2212/26,960.0,0.7,0.192,59
Danlion Pulso X2212/34,755.0,0.6,0.335,59
Danlion Pulso X2217/12,1380.0,1.5,0.061,73
Danlion Pulso X2217/16,1050.0,0.8,0.12,73
Danlion Pulso X2217/20,840.0,0.6,0.185,73
Danlion Pulso X2217/5H,3000.0,2.4,0.039,73
Danlion Pulso X2808/16,1860.0,2.0,0.048,73
Danlion Pulso X2808/20,1490.0,1.5,0.078,73
Danlion Pulso X2808/24,1190.0,1.1,0.117,73
Danlion Pulso X2814/10,1635.0,2.7,0.03,101
Danlion Pulso X2814/12,1360.0,2.1,0.036,101
Danlion Pulso X2814/16,1075.0,1.4,0.075,101
Danlion Pulso X2814/20,855.0,1.0,0.1,101
Danlion Pulso X2820/10,1125.0,2.1,0.033,141
Danlion Pulso X2820/12,950.0,1.7,0.048,141
Danlion Pulso X2820/14,815.0,1.3,0.06,141
Danlion Pulso X2820/8,1450.0,3.2,0.023,141
Danlion Pulso X2826/10,910.0,2.0,0.042,169
Danlion Pulso X2826/12,730.0,1.4,0.062,169
Danlion Pulso X2826/8,1135.0,2.9,0.028,169
Danlion Pulso X4120/14,680.0,2.0,0.035,285
Danlion Pulso X4120/18,515.0,1.4,0.043,285
Danlion Pulso X4120/20,460.0,1.1,0.054,285
Danlion Pulso X4130/16,395.0,1.4,0.04,391
Danlion Pulso X4130/20,305.0,1.0,0.079,391
DeWalt 14.4V,1230.0,2.9,0.061,468
DeWalt 18V,1130.0,2.6,0.072,468
Diversity Zoom 400 7.2V,2227.0,0.72,0.357,74
Dualsky GA6000.8,180.0,2.3,0.0126,1092
Dualsky XM1812MA-42,2330.0,0.25,0.64,8
Dualsky XM1812RTR-42,2330.0,0.25,0.64,12
Dualsky XM2212MA-25,2160.0,0.3,0.3,11
Dualsky XM2212RTR-25,2160.0,0.3,0.3,16
Dualsky XM2215MA-17,1620.0,0.4,0.206,17
Dualsky XM2215RTR-17,1620.0,0.4,0.206,21
Dualsky XM2812CA-27,1780.0,0.52,0.256,19
Dualsky XM2812CA-33,1470.0,0.38,0.334,21
Dualsky XM2812RTR-27,1780.0,0.52,0.256,26
Dualsky XM2812RTR-33,1470.0,0.38,0.334,26
Dualsky XM2815CA-20,1800.0,0.7,0.148,23
Dualsky XM2815CA-24,1450.0,0.55,0.26,23
Dualsky XM2822CA-20,1800.0,0.7,0.148,31
Dualsky XM2822CA-24,1450.0,0.55,0.26,31
Dualsky XM2826CA-10,1770.0,1.1,0.064,44
Dualsky XM2826CA-12,1450.0,1.03,0.09,46
Dualsky XM2826CA-15,1200.0,0.64,0.134,46
Dualsky XM2826CA-18,980.0,0.48,0.199,48
Dualsky XM2830CA-10,1180.0,0.88,0.09,57
Dualsky XM2830CA-12,980.0,0.77,0.132,57
Dualsky XM2830CA-14,830.0,0.57,0.145,59
Dualsky XM2830CA-8,1480.0,1.27,0.055,55
Dualsky XM2834CA-10,870.0,0.6,0.09,73
Dualsky XM2834CA-6,1460.0,1.5,0.041,71
Dualsky XM2834CA-7,1250.0,1.1,0.052,71
Dualsky XM2834CA-9,980.0,0.7,0.081,73
Dualsky XM2834MR-10.5,830.0,0.6,0.102,71
Dualsky XM2834MR-9,960.0,0.7,0.077,71
Dualsky XM3530CA-10,1430.0,1.42,0.049,74
Dualsky XM3530CA-12,1200.0,1.01,0.075,76
Dualsky XM3530CA-14,1000.0,0.75,0.102,76
Dualsky XM3530CA-16,920.0,0.68,0.113,78
Dualsky XM3536CA-6,1330.0,1.95,0.031,103
Dualsky XM3536CA-7,1200.0,1.6,0.037,105
Dualsky XM3536CA-8,990.0,1.27,0.046,105
Dualsky XM3536CA-9,890.0,1.05,0.057,107
Dualsky XM3542CA-5,1120.0,2.11,0.027,137
Dualsky XM3542CA-6,940.0,1.62,0.036,139
Dualsky XM3542CA-7,800.0,1.64,0.051,139
Dualsky XM3542MR-11.5,460.0,0.4,0.115,120
Dualsky XM3542MR-7.5,700.0,0.8,0.057,120
Dualsky XM3548CA-4,1080.0,2.58,0.022,165
Dualsky XM3548CA-5,850.0,1.87,0.032,167
Dualsky XM3548CA-6,720.0,1.41,0.046,167
Dualsky XM4005TE-11,840.0,0.8,0.123,54
Dualsky XM4005TE-13,690.0,0.6,0.176,54
Dualsky XM4005TE-16,570.0,0.5,0.25,54
Dualsky XM4005TE-29,320.0,0.2,0.78,54
Dualsky XM4010MR-5,930.0,1.5,0.043,80
Dualsky XM4010MR-6.5,710.0,0.8,0.066,80
Dualsky XM4010MR-7.5,620.0,0.7,0.087,80
Dualsky XM4010TE-5,880.0,1.8,0.044,78
Dualsky XM4010TE-6,720.0,1.4,0.067,78
Dualsky XM4010TE-7,620.0,1.1,0.086,78
Dualsky XM4240CA-10,1020.0,1.74,0.032,128
Dualsky XM4240CA-12,850.0,1.26,0.042,128
Dualsky XM4240CA-14,730.0,1.15,0.056,129
Dualsky XM4250CA-10,510.0,1.5,0.042,203
Dualsky XM4250CA-5,1020.0,3.43,0.013,200
Dualsky XM4250CA-6,840.0,2.51,0.018,201
Dualsky XM4250CA-7,720.0,1.97,0.024,203
Dualsky XM4255EA-8,445.0,2.0,0.032,247
Dualsky XM4260CA-4,840.0,4.03,0.012,283
Dualsky XM4260CA-5,680.0,2.97,0.017,283
Dualsky XM4260CA-6,566.0,2.11,0.023,283
Dualsky XM4608MR-10,590.0,0.8,0.084,101
Dualsky XM4608MR-15,400.0,0.4,0.158,101
Dualsky XM4608MR-8.5,690.0,1.0,0.059,101
Dualsky XM4614MR-9,380.0,0.7,0.091,145
Dualsky XM5010MR-11,326.0,0.4,0.11,114
Dualsky XM5010MR-7.5,480.0,0.8,0.079,114
Dualsky XM5010MR-9,400.0,0.55,0.092,114
Dualsky XM5010TE-11MR,320.0,0.4,0.115,118
Dualsky XM5010TE-4,870.0,2.4,0.022,126
Dualsky XM5010TE-5,700.0,1.9,0.032,126
Dualsky XM5010TE-6,590.0,1.3,0.045,126
Dualsky XM5010TE-9,390.0,0.6,0.096,126
Dualsky XM5010TE-9MR,390.0,0.6,0.096,118
Dualsky XM5015MR-6,385.0,0.8,0.058,150
Dualsky XM5015MR-7,333.0,0.7,0.075,150
Dualsky XM5015TE-3,760.0,2.9,0.0196,160
Dualsky XM5015TE-4,570.0,1.7,0.0274,160
Dualsky XM5015TE-5,470.0,1.2,0.04,160
Dualsky XM5015TE-6,390.0,1.0,0.059,160
Dualsky XM5015TE-6MR,390.0,0.9,0.059,154
Dualsky XM5015TE-7MR,340.0,0.7,0.08,154
Dualsky XM5050CA-13,350.0,0.79,0.051,285
Dualsky XM5050CA-8,575.0,1.68,0.022,285
Dualsky XM5050EA-10,430.0,1.3,0.03,281
Dualsky XM5050EA-6,710.0,3.28,0.012,293
Dualsky XM5050EA-7,610.0,2.44,0.016,286
Dualsky XM5050EA-8,535.0,2.02,0.02,285
Dualsky XM5050EA-9,480.0,1.64,0.025,281
Dualsky XM5060CA-10,305.0,0.99,0.041,378
Dualsky XM5060CA-9,345.0,1.05,0.035,378
Dualsky XM5060EA-10,290.0,1.0,0.04,376
Dualsky XM5060EA-6,470.0,2.36,0.015,393
Dualsky XM5060EA-7,405.0,1.84,0.02,383
Dualsky XM5060EA-8,355.0,1.48,0.025,382
Dualsky XM5060EA-9,315.0,1.22,0.032,378
Dualsky XM6350CA-12,310.0,1.31,0.029,471
Dualsky XM6350CA-16,235.0,0.92,0.048,471
Dualsky XM6350EA-12,280.0,1.5,0.025,463
Dualsky XM6350EA-15,224.0,1.12,0.041,454
Dualsky XM6350EA-9,370.0,2.36,0.015,470
Dualsky XM6355DA-11,240.0,1.3,0.025,566
Dualsky XM6355DA-12,222.0,1.1,0.03,566
Dualsky XM6355DA-13,200.0,0.9,0.033,558
Dualsky XM6355DA-9.5,278.0,1.5,0.02,564
Dualsky XM6360CA-11,230.0,1.24,0.031,619
Dualsky XM6360CA-12,210.0,1.1,0.037,619
Dualsky XM6360DA-10,218.0,1.4,0.024,655
Dualsky XM6360DA-11,199.0,1.1,0.028,651
Dualsky XM6360DA-12,182.0,0.95,0.034,643
Dualsky XM6360DA-9,242.0,1.5,0.02,655
Dualsky XM6360EA-10,218.0,1.56,0.023,628
Dualsky XM6360EA-11,200.0,1.28,0.028,626
Dualsky XM6360EA-12,184.0,1.12,0.034,618
Dualsky XM7010MR-6.5,370.0,1.3,0.044,270
Dualsky XM7010MR-7.5,322.0,1.1,0.053,270
Dualsky XM7015MR-4.5,356.0,1.8,0.036,346
Dualsky XM7015MR-5,320.0,1.6,0.04,346
Dymond MAX48,2297.0,0.61,0.2044,103
E-Flite BL200 DF Outrunner 3500KV,3500.0,1.6,0.065,57
E-Flite Park 250 Outrunner 2200KV,2200.0,0.45,0.25,15
E-Flite Park 300 Outrunner 1380KV,1380.0,0.4,0.33,23
E-Flite Park 370 3600KV,3600.0,0.8,0.29,49
E-Flite Park 370 4100KV,4100.0,1.0,0.1,49
E-Flite Park 370 5400KV,5400.0,1.3,0.12,49
E-Flite Park 370 Outrunner 1080KV,1080.0,0.7,0.19,46
E-Flite Park 370 Outrunner 1200KV Hollow,1200.0,0.6,0.18,46
E-Flite Park 370 Outrunner 1360KV,1360.0,1.0,0.1,46
E-Flite Park 400 3700KV,3700.0,0.8,0.11,69
E-Flite Park 400 4200KV,4200.0,1.8,0.24,69
E-Flite Park 400 Outrunner 740KV,740.0,0.54,0.26,57
E-Flite Park 400 Outrunner 920KV,920.0,0.7,0.1,57
E-Flite Park 450 Outrunner 890KV,890.0,0.69,0.2,71
E-Flite Park 480 Outrunner 1020KV,1020.0,1.1,0.06,88
E-Flite Park 480 Outrunner 910KV,910.0,0.85,0.08,88
E-Flite Power 10 Outrunner 1100KV,1100.0,2.1,0.043,122
E-Flite Power 110 Outrunner 295KV,295.0,1.2,0.03,497
E-Flite Power 15 Outrunner 950KV,950.0,2.0,0.03,154
E-Flite Power 160 Outrunner 245KV,245.0,1.45,0.03,653
E-Flite Power 25 Outrunner 870KV,870.0,2.4,0.03,190
E-Flite Power 32 Outrunner 770KV,770.0,2.4,0.02,202
E-Flite Power 46 Outrunner 670KV,670.0,3.88,0.04,290
E-Flite Power 60 Outrunner 400KV,400.0,2.7,0.06,380
ECMC 550 Motor,1184.0,0.75,0.2,222
EM Cyclon 110,195.0,1.0,0.06,401
EM Cyclon Big Boss,160.0,5.0,0.006,2300
EM Cyclon Classic 20,1790.0,1.5,0.028,101
EM Cyclon Classic 25,1500.0,2.5,0.026,141
EM Cyclon Classic 30,960.0,1.2,0.042,150
EM Cyclon Classic 40,1000.0,1.5,0.03,175
EM Cyclon Classic 60,600.0,1.2,0.036,236
EM Cyclon Classic 90,430.0,0.7,0.05,321
EM Cyclon Elite 10,4753.0,4.2,0.015,200
EM Cyclon Elite 18,2611.0,2.7,0.019,251
EM Cyclon Elite 24,1742.0,2.4,0.017,351
EM Cyclon F3A,205.0,1.7,0.03,550
EM Cyclon Micro CPLR,1600.0,0.46,0.25,27
EM Cyclon Mini CPLR,1320.0,0.51,0.215,46
EM Cyclon Mini Car Punch,5367.0,2.2,0.029,52
EM Cyclon Mini Elite Punch,5367.0,2.2,0.029,82
EM Cyclon Mini Heli Punch,3450.0,1.3,0.06,52
EM Cyclon NFS 1600,1742.0,2.4,0.017,270
EM Cyclon NFS 2000,2093.0,1.7,0.028,160
EM Cyclon NFS 2500,2611.0,2.7,0.019,160
EM Cyclon NFS 3700,3526.0,4.8,0.01,160
EM Cyclon NFS 4000,3742.0,3.5,0.021,120
EM Cyclon NFS 5000,4753.0,4.2,0.015,120
EM Cyclon NFS 7500,6366.0,7.1,0.008,120
EM Cyclon Nano CPLR,1900.0,0.46,0.35,18
EM Cyclon Power 45,1230.0,3.2,0.012,228
EM Cyclon Power 55,960.0,2.4,0.014,260
EM Cyclon Power 65,770.0,1.9,0.016,291
EM Cyclon Power 75,660.0,1.7,0.018,321
EM Cyclon Premium 15,1440.0,1.0,0.062,65
EM Cyclon Premium 22,1310.0,1.6,0.035,120
EM Cyclon Premium 32,1030.0,1.4,0.032,154
EM Cyclon Premium 42,880.0,1.4,0.027,175
EM Cyclon Premium 52,680.0,1.4,0.032,213
EM Twister 09/25,1500.0,2.5,0.026,141
EM Twister 19/40,1000.0,1.5,0.03,175
EM Twister 29/60,600.0,1.2,0.036,236
EM Twister 39/90,430.0,0.7,0.05,321
EMPS MM1,6070.0,0.6,0.16,36
FSD F250-10T,3400.0,0.8,0.0733,38
FSD F250-9T,3900.0,1.0,0.0662,38
FSD F450-1900,1900.0,1.0,0.0886,69
FSD F450-3200,3200.0,1.5,0.028,69
FSD F450-3500,3500.0,1.9,0.0258,69
FSD F500-1450,1450.0,2.6,0.0282,175
FSD F500-1720,1720.0,3.0,0.0214,175
FSD F700-460,460.0,2.3,0.0245,433
FSD F700-500,500.0,2.8,0.0232,433
FSD F700-550,550.0,3.2,0.0185,433
FSD FB2030/12T,7780.0,2.2,0.0325,50
FSD FB2030/18T,5160.0,1.2,0.0733,50
FSD FB2040/12T,4800.0,1.5,0.0399,65
FSD FB2040/13T,4450.0,1.4,0.0468,65
FSD FB2040/22T,2600.0,0.4,0.1328,65
FSD FB2435/18T,4500.0,1.0,0.045,74
FSD FB2435/20T,4000.0,0.9,0.058,74
FSD FB2445/14T,3400.0,1.3,0.0335,99
FSD FB2445/18T,2700.0,0.8,0.0576,99
FSD FB2848/11T,3570.0,1.8,0.0186,135
FSD FB2848/13T,3030.0,1.2,0.0258,135
FSD FB2848/15T,2630.0,0.9,0.0341,135
FSD FB2848/9T,4370.0,2.4,0.0127,135
FSD FB2858/10T,2880.0,1.4,0.0185,175
FSD FB2858/11T,2600.0,1.3,0.0222,175
FSD FB2858/12T,2390.0,1.1,0.0263,175
FSD FB2858/8T,3600.0,2.2,0.0119,175
FSD FB3650/11T,3210.0,2.1,0.0129,226
FSD FB3650/14T,2530.0,1.7,0.0204,226
FSD FB3650/6T,5900.0,6.8,0.0038,226
FSD FB3650/8T,4420.0,5.5,0.0067,226
FSD FB3650/9T,3930.0,3.6,0.0086,226
FSD FB3660/12T,2040.0,2.2,0.0199,281
FSD FB3665/10T,2150.0,2.0,0.013,311
FSD FB3665/11T,1950.0,1.6,0.0155,311
FSD FB3665/9T,2399.0,2.5,0.011,311
FSD FB3674/10T,1660.0,2.5,0.0131,370
FSD FB3674/12T,1380.0,1.9,0.0188,370
FSD FB3674/7T,2370.0,4.6,0.0064,370
FSD FB3674/8T,2070.0,3.7,0.0084,370
FSD FB3674/9T,1840.0,2.8,0.0105,370
FSD FB4465/10T,1900.0,2.9,0.0105,450
FSD FB4465/9T,2100.0,3.3,0.0086,450
FSD FB4485/13T,980.0,1.8,0.0168,660
FSD FBP2845/2.5D,6550.0,4.0,0.0069,126
FSD FBP2845/2.5Y,3540.0,1.7,0.0173,126
FSD FBP2845/2D,8130.0,5.7,0.004,126
FSD FBP2845/2Y,4420.0,2.5,0.0095,126
FSD FBP2845/3.5D,4700.0,2.7,0.012,126
FSD FBP2845/3.5Y,2550.0,1.1,0.0302,126
FSD FBP2845/3D,5460.0,3.1,0.0081,126
FSD FBP2845/3Y,2960.0,1.3,0.0205,126
FSD FBP2845/4.5D,3650.0,1.7,0.0178,126
FSD FBP2845/4.5Y,1980.0,0.8,0.0472,126
FSD FBP2845/4D,4110.0,2.0,0.0134,126
FSD FBP2845/4Y,2230.0,0.9,0.0345,126
FSD FBP2845/5.5D,3000.0,1.3,0.0265,126
FSD FBP2845/5D,3300.0,1.4,0.0198,126
